date,close,sent_mean,sent_std,sent_min,sent_max,sent_decay,sent_momentum,sent_vol,sent_diffusion,headline_count_z,sig_buy,sig_sell,sig_hold,sig_none
2025-09-22,3746.88,-0.12203895,0.15772896,-0.2995309,0.09403413,-0.057126988,0.12934728,0.18080382,-0.00058456464,1.0579287,0.0,0.0,1.0,0.0
2025-09-23,3764.19,-0.17115995,0.10202193,-0.2995309,-0.019894214,-0.076610714,0.018612755,0.16691048,-0.010778943,1.2246116,0.0,0.0,1.0,0.0
2025-09-24,3736.11,-0.19583619,0.06419802,-0.2995309,-0.14327537,-0.0903636,0.008295503,0.15444586,-0.016890585,1.0564111,0.0,0.0,1.0,0.0
2025-09-25,3749.37,-0.17492115,0.07298226,-0.2995309,-0.110045,-0.09442386,0.033230368,0.13669999,-0.017842613,0.6543829,0.0,0.0,1.0,0.0
2025-09-26,3761.53,-0.12609449,0.045121275,-0.17018363,-0.055397596,-0.08637276,0.05464741,0.12600382,-0.014161692,0.4157868,0.0,0.0,1.0,0.0
2025-09-29,3833.89,-0.107809216,0.041136734,-0.15157087,-0.055397596,-0.08480169,-0.023359658,0.10892854,-0.014273958,-1.0667671,0.0,0.0,1.0,0.0
2025-09-30,3858.43,-0.09370015,0.033822622,-0.14327537,-0.055397596,-0.08402266,-0.0022682718,0.08246873,-0.017308943,-1.3211441,0.0,0.0,1.0,0.0
2025-10-01,3865.63,-0.08165497,0.019404776,-0.110045,-0.055397596,-0.0838219,-0.0020239542,0.07497043,-0.025042199,-1.2092472,0.0,0.0,1.0,0.0
2025-10-02,3856.42,-0.06487686,0.02435657,-0.083049476,-0.026154453,-0.07192513,0.056895025,0.077425934,-0.02248739,-0.7327843,0.0,0.0,1.0,0.0
2025-10-03,3886.58,-0.046871234,0.05139023,-0.083049476,0.034630537,-0.049942754,0.06078499,0.06182264,-0.012936362,-0.2278819,0.0,0.0,1.0,0.0
2025-10-06,3961.01,-0.03434907,0.049262296,-0.083049476,0.034630537,-0.04297059,-0.05077696,0.057703268,-0.010267598,1.0327413,0.0,0.0,1.0,0.0
2025-10-07,3984.55,-0.016311467,0.044144318,-0.083049476,0.034630537,-0.032215565,0.025308901,0.055119347,-0.0016346773,0.9125744,0.0,0.0,1.0,0.0
2025-10-08,4041.61,-0.005535412,0.02704453,-0.029169206,0.034630537,-0.0315871,-0.038331687,0.045846697,0.006872832,1.460453,0.0,0.0,1.0,0.0
2025-10-09,3976.24,0.0069870153,0.029495107,-0.029169206,0.036457684,-0.017549498,0.06562689,0.04566041,0.020596216,1.9286897,0.0,0.0,1.0,0.0
2025-10-10,4019.07,0.0071969475,0.029743737,-0.029169206,0.036457684,-0.00656824,-0.0007774852,0.048775,0.034766823,1.8691407,0.0,0.0,1.0,0.0
2025-10-13,4110.65,0.035337023,0.05658444,-0.029169206,0.124553956,0.0204822,0.08887376,0.062052548,0.052279852,3.973555,1.0,0.0,0.0,0.0
2025-10-14,4142.13,0.054009207,0.061018124,-0.029169206,0.124553956,0.037407257,-0.022030558,0.062405683,0.06283587,2.7992427,1.0,0.0,0.0,0.0
2025-10-15,4208.27,0.08805409,0.04938606,0.0356802,0.1410552,0.05878977,0.038531803,0.061984804,0.07673977,2.0204105,1.0,0.0,0.0,0.0
2025-10-16,4326.11,0.10620607,0.04177335,0.0356802,0.1410552,0.0729064,-0.013837614,0.06242413,0.0862991,1.445017,1.0,0.0,0.0,0.0
2025-10-17,4247.21,0.12943397,0.018635178,0.102523394,0.15181969,0.08918617,0.024602108,0.06854241,0.09564031,1.2156179,1.0,0.0,0.0,0.0
2025-10-20,4356.43,0.1351788,0.021028515,0.102523394,0.15327814,0.102408305,0.0014584468,0.06624612,0.09438434,-0.9253875,1.0,0.0,0.0,0.0
2025-10-21,4124.95,0.14705142,0.013331575,0.12721759,0.1618865,0.11467863,0.008608353,0.06433066,0.09747691,-0.92667115,1.0,0.0,0.0,0.0
2025-10-22,4098.48,0.0748194,0.16537188,-0.22010493,0.1618865,0.045612954,-0.38199142,0.11527034,0.050575335,-0.679263,1.0,0.0,0.0,0.0
2025-10-23,4126.01,-0.026705736,0.25609624,-0.38040808,0.1618865,-0.042274963,-0.16030316,0.18663245,-0.010287091,-0.45653918,0.0,0.0,1.0,0.0
2025-10-24,4113.02,-0.14857677,0.29232743,-0.45753542,0.1618865,-0.12794298,-0.077127345,0.24413915,-0.076149926,-0.4881969,0.0,0.0,1.0,0.0
2025-10-27,3981.42,-0.2945589,0.2860869,-0.5766327,0.1618865,-0.22050743,-0.119097225,0.29643023,-0.14249116,-0.5111325,0.0,1.0,0.0,0.0
2025-10-28,3952.75,-0.4461673,0.15417145,-0.5961554,-0.22010493,-0.2980034,-0.019522766,0.32923436,-0.20006469,-0.30555224,0.0,1.0,0.0,0.0
2025-10-29,3930.35,-0.49861172,0.088778645,-0.5961554,-0.38040808,-0.33602926,0.11382845,0.32710448,-0.22893327,-0.3690898,0.0,1.0,0.0,0.0
2025-10-30,4024.39,-0.50454926,0.07939348,-0.5961554,-0.41009575,-0.35130915,0.072231226,0.30883121,-0.24167524,-0.6246683,0.0,1.0,0.0,0.0
2025-10-31,4003.3,-0.49135467,0.093405716,-0.5961554,-0.39156255,-0.3596134,0.018533193,0.27293906,-0.24283807,-0.51127034,0.0,1.0,0.0,0.0
2025-11-03,4001.38,-0.44914174,0.09292309,-0.5961554,-0.365568,-0.36084184,0.025994543,0.2164515,-0.24431556,-0.52342755,0.0,1.0,0.0,0.0
2025-11-04,3931.97,-0.39337417,0.060731523,-0.48232695,-0.31731763,-0.35186282,0.048250362,0.1139183,-0.23566447,-0.6518567,0.0,1.0,0.0,0.0
2025-11-05,3979.1,-0.36860108,0.035323642,-0.41009575,-0.31731763,-0.3532241,-0.041143786,0.09355601,-0.23722798,-0.79304314,0.0,1.0,0.0,0.0
